Qty,Description,Manufacturer,Mfg part,Vendor,Vendor part,Designator
2,*,*,*,*,*,"R1, R2"
5,*,*,*,*,*,"JP1, JP2, JP3, JP4, JP5"
1,"Schottky rectifier, 30V, 1A, SMA",Diodes Inc,B130-13-F,DK,B130-FDICT-ND,D8
1,"LED, Green, 0603, 10mcd",Osram,LGQ971,NW,05M0493,LED1
3,"Inductor, Chip, 220ohm, 0603",Bourns Inc,MH1608-221Y,DK,MH1608-221YCT-ND,"L3, L4, L5"
4,TVS DIODE 30VWM 48.4VC SMB,Littelfuse,SMBJ30CA,DK,SMBJ30CALFCT-ND,"D2, D3, D4, D5"
1,"Capacitor, Ceramic, .1uF 25V 10% 0603 X7R",TDK,C1608X7R1E104K080AA,DK,445-1316-1-ND,C25
1,"Capacitor, Ceramic, .1uF 25V 10% 0603 X7R",TDK,C1608X7R1E104K080AA,DK,445-1316-1-ND,C11
1,"Capacitor, Ceramic, 1 uF, 50V, X7R, 10%, 1210",Murata,GRM32RR71H105KA01L,NW,97K0677,C13
1,"Resistor, 1k ohm, 63 mW, 5%, Thick Film 0402",Vishay Dale,CRCW04021K00JNTD,NW,23C6830,R17
2,"Capacitor, Ceramic, 2.2UF, 10%, 25V, 0603, X5R",Murata,GRM188R61E225KA12D,NW,13T1193,"C14, C17"
6,"Capacitor, Ceramic, 2.2UF, 10%, 25V, 0603, X5R",Murata,GRM188R61E225KA12D,NW,13T1193,"C1, C2, C4, C5, C6, C9"
2,"Resistor, 2.2k ohm, Thick Film, 100 mW, 1%, 0603",Yageo,RC0603FR-102K2L,NW,68R0123,"R14, R15"
2,"CAP, MLCC, 4.7NF, 50V, X7R, 0603",Multicomp,MC0603B472J500CT,NW,90W2841,"C7, C8"
1,"CAP CERAMIC, 4.7UF, 10V, X5R, 0603",TDK,CGB3B1X5R1A475M055AC,NW,04X3171,C23
1,"Resistor, 4.7k ohm 1%, 100 mW, 100ppm, 0603",Panasonic,ERJ-3EKF4701V,DK,P4.70KHCT-ND,R8
1,"Resistor, 3.32 kohm, Thin Film, 0.5%, 0402",Susumu,RR0510P-3321-D,DK,RR05P3.32KDCT-ND,R16
2,"Capacitor, Ceramic, 8pF, 50V, NP0, 0603",TDK,C1608C0G1H080D080AA,DK,445-5043-1-ND,"C10, C12"
1,"Capacitor, Ceramic, 10 uF 6.3V, 20%, 0603, X5R",Murata,GRM188R60J106ME47D,NW,24R6334,C22
1,"Inductor, 18 uH, 1.5 A, unshielded, 15%, 8012",Bourns,SDR0604-180YL,NW,61J8158,L6
1,"Crystal, 20MHz, 10ppm, 8pF load, 5x3SMD",ECS Inc,ECS-200-8-30B-CKM,DK,XC1841CT-ND,X5
2,"Capacitor, Ceramic, 22 uF, 6.3V, X5R, 20%, 0805",Murata,GRM21BR60J226ME39L,NW,24R6338,"C18, C24"
4,"RESISTOR, THICK FILM, 60.4 OHM, 125mW, 1%",VISHAY DALE,CRCW080560R4FKEA,NW,53K0403,"R7, R9, R10, R11"
1,"Resistor, 300 ohm, 5% 0603",Panasonic,ERJ-3GEYJ301V,DK,P300GCT-ND,R4
1,"Micro-Fit header, 6pos, RA, SMD, with solder tabs",Molex,43045-0609,NW,71H3391,X2
1,"Micro-Fit header, 6pos, RA, SMD, with solder tabs",Molex,43045-0609,NW,71H3391,X3
2,CHOKE COMMON MODE 51UH 25%,Bourns Inc,DR331-513AE,DK,DR331-513AECT-ND,"L1, L2"
2,"IC, CAN TXRX, 1MBPS, 1/1, 5V, SOP-8",Texas Instruments,ISO1050DUBR,NW,14R9899,"IC4, IC5"
1,"0.1"""" Male Header - 2 rows, 14 positions (TI JTAG) - Through Hole, Vertical",FCI,67996-114HLF,NW,30M1973,X1
1,"IC, DC-DC Conv, Buck, 42 Vin, 1.25 MHz, SOT23-6",Texas Instruments,LMR14206XMKE/NOPB,NW,76T5004,IC3
1,"IC, LDO VOLT REG, 3.3V, 0.5A, SOT-223-5",Texas Instruments,LP38693MP-3.3/NOPB,NW,41K7496,IC8
1,"IC, CAN Controller. SPI interface, SOIC-18",Microchip,MCP2515-I/SO,DK,MCP2515-I/SO-ND,IC7
1,"IC, Buffer, 2-bit, non-invert, open drain, SOT-23-6",Texas Instruments,SN74LVC2G07DBVR,DK,296-13494-1-ND,IC1
1,"IC, MCU, C2000 piccolo, LQFP80",Texas Instruments,TMS320F28035PNT,DK,296-32764-ND,U$1
